ChildId,GiftId
0,200
1,200
2,134
3,134
4,237
5,237
6,564
7,564
8,520
9,520
10,859
11,859
12,497
13,497
14,491
15,491
16,349
17,349
18,156
19,156
20,742
21,742
22,162
23,162
24,151
25,151
26,496
27,496
28,641
29,641
30,758
31,758
32,234
33,234
34,917
35,917
36,238
37,238
38,680
39,680
40,578
41,578
42,130
43,130
44,151
45,151
46,224
47,224
48,77
49,77
50,952
51,952
52,105
53,105
54,621
55,621
56,463
57,463
58,317
59,317
60,441
61,441
62,167
63,167
64,141
65,141
66,425
67,425
68,441
69,441
70,46
71,46
72,641
73,641
74,223
75,223
76,291
77,291
78,971
79,971
80,7
81,7
82,587
83,587
84,84
85,84
86,579
87,579
88,545
89,545
90,699
91,699
92,886
93,886
94,744
95,744
96,260
97,260
98,770
99,770
100,780
101,780
102,36
103,36
104,979
105,979
106,701
107,701
108,179
109,179
110,508
111,508
112,230
113,230
114,700
115,700
116,818
117,818
118,7
119,7
120,453
121,453
122,818
123,818
124,510
125,510
126,721
127,721
128,416
129,416
130,965
131,965
132,257
133,257
134,753
135,753
136,829
137,829
138,100
139,100
140,780
141,780
142,402
143,402
144,422
145,422
146,376
147,376
148,57
149,57
150,28
151,28
152,668
153,668
154,573
155,573
156,144
157,144
158,411
159,411
160,458
161,458
162,276
163,276
164,534
165,534
166,510
167,510
168,52
169,52
170,502
171,502
172,464
173,464
174,807
175,807
176,117
177,117
178,623
179,623
180,549
181,549
182,704
183,704
184,841
185,841
186,569
187,569
188,963
189,963
190,759
191,759
192,706
193,706
194,308
195,308
196,142
197,142
198,831
199,831
200,803
201,803
202,804
203,804
204,286
205,286
206,499
207,499
208,854
209,854
210,511
211,511
212,800
213,800
214,203
215,203
216,573
217,573
218,844
219,844
220,120
221,120
222,954
223,954
224,222
225,222
226,436
227,436
228,560
229,560
230,66
231,66
232,786
233,786
234,642
235,642
236,195
237,195
238,738
239,738
240,4
241,4
242,54
243,54
244,840
245,840
246,626
247,626
248,316
249,316
250,673
251,673
252,348
253,348
254,154
255,154
256,192
257,192
258,707
259,707
260,565
261,565
262,629
263,629
264,318
265,318
266,419
267,419
268,516
269,516
270,234
271,234
272,917
273,917
274,626
275,626
276,510
277,510
278,463
279,463
280,638
281,638
282,142
283,142
284,305
285,305
286,157
287,157
288,488
289,488
290,377
291,377
292,809
293,809
294,581
295,581
296,445
297,445
298,85
299,85
300,748
301,748
302,137
303,137
304,808
305,808
306,519
307,519
308,464
309,464
310,269
311,269
312,825
313,825
314,220
315,220
316,445
317,445
318,785
319,785
320,412
321,412
322,82
323,82
324,582
325,582
326,511
327,511
328,90
329,90
330,555
331,555
332,341
333,341
334,721
335,721
336,714
337,714
338,478
339,478
340,311
341,311
342,310
343,310
344,821
345,821
346,591
347,591
348,469
349,469
350,588
351,588
352,56
353,56
354,680
355,680
356,641
357,641
358,862
359,862
360,497
361,497
362,365
363,365
364,226
365,226
366,582
367,582
368,997
369,997
370,564
371,564
372,230
373,230
374,618
375,618
376,305
377,305
378,986
379,986
380,440
381,440
382,661
383,661
384,663
385,663
386,841
387,841
388,818
389,818
390,145
391,145
392,949
393,949
394,108
395,108
396,329
397,329
398,173
399,173
400,854
401,854
402,695
403,695
404,333
405,333
406,280
407,280
408,725
409,725
410,702
411,702
412,173
413,173
414,962
415,962
416,442
417,442
418,202
419,202
420,161
421,161
422,936
423,936
424,669
425,669
426,565
427,565
428,143
429,143
430,748
431,748
432,145
433,145
434,5
435,5
436,81
437,81
438,203
439,203
440,695
441,695
442,164
443,164
444,535
445,535
446,6
447,6
448,293
449,293
450,693
451,693
452,7
453,7
454,850
455,850
456,511
457,511
458,990
459,990
460,124
461,124
462,512
463,512
464,83
465,83
466,608
467,608
468,412
469,412
470,746
471,746
472,161
473,161
474,248
475,248
